Step,Time (years),Discounted Average Option Price,Discounted Average Spot Price
0,0.000000,11.051618,100.000000
1,0.003277,11.051618,99.999995
2,0.006553,11.051618,100.000311
3,0.009830,11.051618,100.000451
4,0.013107,11.051618,100.000430
5,0.016384,11.051618,100.000282
6,0.019660,11.051618,100.000448
7,0.022937,11.051618,100.001104
8,0.026214,11.051618,100.001297
9,0.029490,11.051618,100.000935
10,0.032767,11.051618,100.001087
11,0.036044,11.051618,100.001173
12,0.039321,11.051618,100.000800
13,0.042597,11.051618,100.001540
14,0.045874,11.051618,100.001973
15,0.049151,11.051618,100.002049
16,0.052427,11.051618,100.000765
17,0.055704,11.051618,100.002164
18,0.058981,11.051618,100.000849
19,0.062258,11.051618,100.001237
20,0.065534,11.051618,99.999631
21,0.068811,11.051618,99.999500
22,0.072088,11.051618,100.001719
23,0.075364,11.051618,100.002478
24,0.078641,11.051618,100.001352
25,0.081918,11.051618,100.001719
26,0.085195,11.051618,100.002590
27,0.088471,11.051618,100.003732
28,0.091748,11.051618,100.002579
29,0.095025,11.051618,100.000057
30,0.098301,11.051618,100.001635
31,0.101578,11.051618,100.001663
32,0.104855,11.051618,100.001276
33,0.108132,11.051618,100.000373
34,0.111408,11.051618,100.000453
35,0.114685,11.051618,99.997737
36,0.117962,11.051618,99.997114
37,0.121238,11.051618,99.998320
38,0.124515,11.051618,99.996674
39,0.127792,11.051618,99.996691
40,0.131068,11.051618,99.996291
41,0.134345,11.051618,99.996449
42,0.137622,11.051618,99.996590
43,0.140899,11.051618,99.993931
44,0.144175,11.051618,99.992342
45,0.147452,11.051618,99.991608
46,0.150729,11.051618,99.990992
47,0.154005,11.051618,99.990709
48,0.157282,11.051618,99.991865
49,0.160559,11.051618,99.991674
50,0.163836,11.051618,99.992436
51,0.167112,11.051618,99.992500
52,0.170389,11.051618,99.994121
53,0.173666,11.051618,99.993760
54,0.176942,11.051618,99.992238
55,0.180219,11.051618,99.993670
56,0.183496,11.051618,99.991854
57,0.186773,11.051618,99.995626
58,0.190049,11.051618,99.994457
59,0.193326,11.051618,99.993059
60,0.196603,11.051618,99.992411
61,0.199879,11.051618,99.994187
62,0.203156,11.051618,99.993807
63,0.206433,11.051618,99.992857
64,0.209710,11.051618,99.994159
65,0.212986,11.051618,99.992359
66,0.216263,11.051618,99.991877
