Nom;Range
rho_bs_vba;=Greeks!$D$10
vanna_bs_vba;=Greeks!$D$11
vomma_bs_vba;=Greeks!$D$12
delta_bs_vba;=Greeks!$D$6
gamma_bs_vba;=Greeks!$D$7
vega_bs_vba;=Greeks!$D$8
theta_bs_vba;=Greeks!$D$9
rho_rec_vba;=Greeks!$G$10
vanna_rec_vba;=Greeks!$G$11
vomma_rec_vba;=Greeks!$G$12
delta_rec_vba;=Greeks!$G$6
gamma_rec_vba;=Greeks!$G$7
vega_rec_vba;=Greeks!$G$8
theta_rec_vba;=Greeks!$G$9
rho_back_vba;=Greeks!$J$10
vanna_back_vba;=Greeks!$J$11
vomma_back_vba;=Greeks!$J$12
delta_back_vba;=Greeks!$J$6
gamma_back_vba;=Greeks!$J$7
vega_back_vba;=Greeks!$J$8
theta_back_vba;=Greeks!$J$9
ExDivDate_Dividende;=Param!$B$10
Methode_Pricing;=Param!$B$17
Langage;=Param!$B$18
Spot;=Param!$B$4
Vol;=Param!$B$5
Taux;=Param!$B$6
Dividende;=Param!$B$7
Rho;=Param!$B$8
Lambda;=Param!$B$9
Prix_Tree;=Param!$E$18
Time_Tree;=Param!$E$19
tree_error;=Param!$E$20
Strike;=Param!$E$4
Maturity;=Param!$E$5
Call_Put;=Param!$E$6
Exercice;=Param!$E$7
Prix_BS;=Param!$F$18
Time_BS;=Param!$F$19
Param_TestVitesse;=Param!$H$21
date_pricing;=Param!$H$4
N;=Param!$H$5
Delta_t;=Param!$H$6
Alpha;=Param!$H$7
AffichageStock;=Param!$K$4
AffichageStockPrice;=Param!$K$4
AffichageOption;=Param!$K$5
AffichageProba;=Param!$K$6
Pruning;=Param!$N$4
SeuilPruning;=Param!$N$5
